id,rule_name,package_name,session_type,price,sessions,sessions_per_pack,unit_price,coach_percentage,bgm_percentage,management_percentage,mfc_percentage,pricing_type,per_week,fixed_rate,match_offering_patterns,allow_late_payment_window_days,is_fixed_rate,allow_discounts,notes,created_at,updated_at,attendance_alias,payment_memo_alias
1,Adult Single - Pay as You Go,Adult Single - Pay as You Go,group,14.02,1,1,14.02,43.5,30,8.5,18,payg,,0,,,FALSE,TRUE,,,,Adult Single - Pay as You Go,Adult Single - Pay as You Go
2,Adult 5 Pack — Pay As You Go,Adult 5 Pack — Pay As You Go,group,60.75,5,5,12.15,43.5,30,8.5,18,payg,,0,,,FALSE,TRUE,,,,Adult 5 Pack — Pay As You Go,Adult 5 Pack — Pay As You Go
3,Adult 10 Pack — Pay As You Go,Adult 10 Pack — Pay As You Go,group,112.15,10,10,11.22,43.5,30,8.5,18,payg,,0,,,FALSE,TRUE,,,,Adult 10 Pack — Pay As You Go,Adult 10 Pack — Pay As You Go
4,Adult 15 Pack — Pay As You Go,Adult 15 Pack — Pay As You Go,group,158.88,15,15,10.59,43.5,30,8.5,18,,0,0,,,,TRUE,,2025-09-12T17:48:04.443Z,2025-09-12T17:48:04.443Z,Adult 15 Pack — Pay As You Go,Adult 15 Pack — Pay As You Go
5,Adult 20 Pack — Pay As You Go,Adult 20 Pack — Pay As You Go,group,205.61,20,20,10.28,43.5,30,8.5,18,payg,,0,,,FALSE,TRUE,,,,Adult 20 Pack — Pay As You Go,Adult 20 Pack — Pay As You Go
6,Adult Pay Monthly - 2 x Week,Adult Pay Monthly - 2 x Week,group,65.42,,8.6,7.61,43.5,30,8.5,18,monthly,2,0,,,FALSE,TRUE,unit_price=price/(4.3*2),,,Adult Pay Monthly - 2 x Week,Adult Pay Monthly - 2 x Week
7,Adult Pay Monthly - 3 x Week,Adult Pay Monthly - 3 x Week,group,84.11,,12.9,6.52,43.5,30,8.5,18,monthly,3,0,,,FALSE,TRUE,unit_price=price/(4.3*3),,,Adult Pay Monthly - 3 x Week,Adult Pay Monthly - 3 x Week
8,Adult Pay Monthly - 4 x Week,Adult Pay Monthly - 4 x Week,group,117.7,,17.2,6.84,43.5,30,8.5,18,monthly,4,0,,,FALSE,TRUE,unit_price=price/(4.3*4),,,Adult Pay Monthly - 4 x Week,Adult Pay Monthly - 4 x Week
9,Adult Pay Monthly - 5 x Week,Adult Pay Monthly - 5 x Week,group,116.82,,21.5,5.43,43.5,30,8.5,18,monthly,5,0,,,FALSE,TRUE,unit_price=price/(4.3*5),,,Adult Pay Monthly - 5 x Week,Adult Pay Monthly - 5 x Week
10,Adult Pay Monthly - 6 x Week,Adult Pay Monthly - 6 x Week,group,130.84,,25.8,5.07,43.5,30,8.5,18,monthly,6,0,,,FALSE,TRUE,unit_price=price/(4.3*6),,,Adult Pay Monthly - 6 x Week,Adult Pay Monthly - 6 x Week
11,€90 Unlimited Plan — Loyalty Only,€90 Unlimited Plan — Loyalty Only,group,84.11,14.07,14.07,5.98,43.5,30,8.5,18,,0,0,,,,,"fixed per attendance: coach=2.60, mgmt=0.51, bgm=1.79",2025-09-11T19:25:04.501Z,2025-09-11T19:25:04.501Z,€90 Unlimited Plan — Loyalty Only,€90 Unlimited Plan — Loyalty Only
12,YOUTH FITNESS VOUCHER I 2 x PER WEEK,YOUTH FITNESS VOUCHER I 2 x PER WEEK,group,280.37,,60.2,4.66,43.5,30,8.5,18,monthly,2,0,,,FALSE,TRUE,price/7/4.3/2,,,YOUTH FITNESS VOUCHER I 2 x PER WEEK,YOUTH FITNESS VOUCHER I 2 x PER WEEK
13,YOUTH FITNESS VOUCHER I 3 x PER WEEK,YOUTH FITNESS VOUCHER I 3 x PER WEEK,group,112.15,,30.1,3.73,43.5,30,8.5,18,monthly,3,0,,,FALSE,TRUE,price/7/4.3,,,YOUTH FITNESS VOUCHER I 3 x PER WEEK,YOUTH FITNESS VOUCHER I 3 x PER WEEK
14,YOUTH FITNESS VOUCHER I UNLIMITED MONTHLY UPGRADE I FIGHTERS ONLY,YOUTH FITNESS VOUCHER I UNLIMITED MONTHLY UPGRADE I FIGHTERS ONLY,group,37.38,10.16,10.16,3.68,43.5,30,8.5,18,,0,0,,,,TRUE,"fixed per attendance: coach=1.60, mgmt=0.31, bgm=1.10",2025-09-11T19:23:37.456Z,2025-09-11T19:23:37.456Z,YOUTH FITNESS VOUCHER I UNLIMITED MONTHLY UPGRADE I FIGHTERS ONLY,YOUTH FITNESS VOUCHER I UNLIMITED MONTHLY UPGRADE I FIGHTERS ONLY
15,Junior Single - Pay as You Go,Junior Single - Pay as You Go,group,10.28,1,1,10.28,43.5,30,8.5,18,payg,,0,,,FALSE,TRUE,,,,Junior Single - Pay as You Go,Junior Single - Pay as You Go
16,Junior 5 pack - Pay As You Go,Junior 5 pack - Pay As You Go,group,46.73,5,5,9.35,43.5,30,8.5,18,payg,,0,,,FALSE,TRUE,,,,Junior 5 pack - Pay As You Go,Junior 5 pack - Pay As You Go
17,Junior 10 Pack - Pay as You Go,Junior 10 Pack - Pay as You Go,group,89.72,10,10,8.97,43.5,30,8.5,18,payg,,0,,,FALSE,TRUE,,,,Junior 10 Pack - Pay as You Go,Junior 10 Pack - Pay as You Go
18,Junior 15 Pack - Pay as You Go,Junior 15 Pack - Pay as You Go,group,126.17,15,15,8.41,43.5,30,8.5,18,payg,,0,,,FALSE,TRUE,,,,Junior 15 Pack - Pay as You Go,Junior 15 Pack - Pay as You Go
19,Junior 20 Pack - Pay as You Go,Junior 20 Pack - Pay as You Go,group,163.55,20,20,8.18,43.5,30,8.5,18,payg,,0,,,FALSE,TRUE,,,,Junior 20 Pack - Pay as You Go,Junior 20 Pack - Pay as You Go
20,Junior Pay Monthly - 2x Week,Junior Pay Monthly - 2x Week,group,56.07,,8.6,6.52,43.5,30,8.5,18,monthly,2,0,,,FALSE,TRUE,unit_price=price/(4.3*2),,,Junior Pay Monthly - 2x Week,Junior Pay Monthly - 2x Week
21,Junior Pay Monthly - 3x Week,Junior Pay Monthly - 3x Week,group,67.76,,12.9,5.25,43.5,30,8.5,18,monthly,3,0,,,FALSE,TRUE,unit_price=price/(4.3*3),,,Junior Pay Monthly - 3x Week,Junior Pay Monthly - 3x Week
